ACBWBEZnSQreuepy            ,031413100021,20250314131629,73002307        ,1,000000024145      ,-00000000340725   ,0000002000,20250315,840,00000000,I,00,
ACBWBQsXaakZGNOF            ,031414508823,20250314145730,05968T42        ,1,000000005581      ,-00000000247905   ,0000002000,20250315,840,00000000,I,00,
ACBWCzFpXxAZZpOb            ,031458614601,20250314094341,06133962        ,1,000000014563      ,-00000000292815   ,0000002000,20250315,840,00000000,I,00,
ACBWDacUfBQJhfPB            ,507351549783,20250314063500,42515401        ,1,000000000281      ,-00000000221405   ,0000002000,20250315,840,00000000,I,00,
ACBWDvESDtAEaJho            ,015743      ,20250314100527,0004            ,1,000000026047      ,-00000000100000   ,0000002000,20250315,840,00000000,I,00,
ACBWDvESDtAEaJho            ,031410300827,20250314103145,07701688        ,1,000000003975      ,-00000000468125   ,0000002000,20250315,840,00000000,I,00,
ACBWDvESDtAEaJho            ,031411243438,20250314112649,17856T71        ,1,000000002019      ,-00000000090000   ,0000002000,20250315,840,00000000,I,00,
ACBWFkyLsWbNGNOF            ,000000043934,20250315043107,61320001        ,1,000000002500      ,-00000000100000   ,2800002000,20250315,840,00000000,I,00,
ACBWFkyLsWbNGNOF            ,000000258035,20250315023047,61320001        ,1,000000007000      ,-00000000100000   ,2800002000,20250315,840,00000000,I,00,
ACBWFkyLsWbNGNOF            ,507373348569,20250314171100,38733401        ,1,000000004402      ,-00000000242010   ,0000002000,20250315,840,00000000,I,00,
ACBWGGTuNZvFCySm            ,031413000009,20250314130300,60066304        ,1,000000002365      ,-00000000231825   ,0000002000,20250315,840,00000000,I,00,
ACBWGGTuNZvFCySm            ,507332825853,20250314132800,39328201        ,1,000000004810      ,-00000000244050   ,0000002000,20250315,840,00000000,I,00,
ACBWHRgsNefhjOzd            ,031411417497,20250314114946,60001714        ,1,000000006861      ,-00000000254305   ,0000002000,20250315,840,00000000,I,00,
ACBWHRgsNefhjOzd            ,507375811024,20250314133100,97758101        ,1,000000001498      ,-00000000227490   ,0000002000,20250315,840,00000000,I,00,
ACBWHkbaFmGIIDwr            ,202195      ,20250314081334,00MVQ001        ,1,000000000556      ,-00000000222780   ,0000002000,20250315,840,00000000,I,00,
ACBWHrJptkIJGWLS            ,073001000107,20250314163439,0302            ,1,000000012655      ,-00000000283275   ,0000002000,20250315,840,00000000,I,00,
ACBWHrJptkIJJGPP            ,507393127156,20250314185000,33931202        ,1,000000010199      ,-00000000270995   ,0000002000,20250315,840,00000000,I,00,
ACBWHrJptkIJQfIW            ,031409559063,20250314095329,80069101        ,1,000000000530      ,-00000000222650   ,0000002000,20250315,840,00000000,I,00,
ACBWHrJptkIJQfIW            ,031411001105,20250314110530,80069101        ,1,000000000571      ,-00000000222855   ,0000002000,20250315,840,00000000,I,00,
ACBWJIdaKNifUcUt            ,000000006936,20250314080148,COSG526         ,1,000000009350      ,00000000500000    ,0100002000,20250315,840,00000350,I,70,
ACBWLQlAPnMsAInN            ,031500005878,20250315121518,N80269          ,1,000000020485      ,00000000300000    ,0100002000,20250315,840,00005800,I,70,
ACBWLQlAPwIeLeHb            ,031453511827,20250314160019,06837791        ,1,000000001636      ,-00000000228180   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAPwIeVXQA            ,507336007234,20250314155600,82360001        ,1,000000008131      ,-00000000260655   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAPwIerxua            ,124418      ,20250314000221,24737           ,1,000000002535      ,-00000000232675   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAQLeeXQIe            ,507355853989,20250314164100,67558502        ,1,000000001281      ,-00000000226405   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAQLeemcvR            ,507319207733,20250314131800,40192001        ,1,000000001530      ,-00000000227650   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAQLeemcvR            ,507332036011,20250314061100,63320301        ,1,000000000337      ,-00000000221685   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAQLeevwIU            ,031419055220,20250314190904,09090002        ,1,000000001616      ,-00000000228080   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAQLeevwIU            ,031420000183,20250314200332,13039810        ,1,000000002189      ,-00000000230945   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAQLeevwIU            ,902986      ,20250314145318,100833          ,1,000000000922      ,-00000000224610   ,0000002000,20250315,840,00000035,I,70,
ACBWLQlAbnqqXhSZ            ,031410103137,20250314101548,49075310        ,1,000000006980      ,-00000000254900   ,0900002000,20250315,840,00000000,I,00,
ACBWLQlAcKCPMvFl            ,507326118166,20250314154500,44261131        ,1,000000000755      ,-00000000223775   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAcKCPyvwq            ,507331310825,20250314141300,28313101        ,1,000000002622      ,-00000000233110   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAdMvUXCQj            ,354708      ,20250314091920,002U9R78        ,1,000000003000      ,-00000000235000   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAdMvUXCQj            ,770416      ,20250314120012,002U9R78        ,1,000000003513      ,-00000000237565   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAftQHtULw            ,1992        ,20250314130828,NY3752          ,1,000000020350      ,00000000500000    ,0100002000,20250315,840,00000350,I,70,
ACBWLQlAsQmHHQuH            ,546384      ,20250314103801,002UID02        ,1,000000007000      ,-00000000255000   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAvKYWNEnj            ,507315699782,20250314062500,41156901        ,1,000000001008      ,-00000000225040   ,0000002000,20250315,840,00000000,I,00,
ACBWLQlAvKYWNEnj            ,507315699857,20250314160500,41156901        ,1,000000005940      ,-00000000249700   ,0000002000,20250315,840,00000000,I,00,
ACBWLSBZBNPMjNHc            ,507348578039,20250314061000,01485705        ,1,000000002148      ,-00000000230740   ,0000002000,20250315,840,00000000,I,00,
ACBWLSBZGWJksWju            ,031420400082,20250314204157,73003782        ,1,000000001078      ,-00000000225390   ,0000002000,20250315,840,00000000,I,00,
ACBWLSBZGrmJskin            ,507300009486,20250314171151,VV082495        ,1,000000006000      ,00000000500000    ,0100002000,20250315,840,00000000,I,00,
ACBWLSBZIDwreEAX            ,000111      ,20250314192524,0300            ,1,000000000954      ,-00000000224770   ,0000002000,20250315,840,00000000,I,00,
ACBWLSBZKQiJVNOR            ,000045      ,20250314073717,0004            ,1,000000003582      ,-00000000237910   ,0000002000,20250315,840,00000000,I,00,
ACBWLSBZKQiJVNOR            ,031434124310,20250314143054,08158926        ,1,000000003919      ,-00000000239595   ,0000002000,20250315,840,00000000,I,00,
